__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670040246.139730,,,,,3548.954000,-0.255797,2.000025,-0.002089,0.628328,1.499519,0.006420,50.000000,2.100003,-0.000859,,,,
1670040246.139827,,,,,3548.954000,-0.255797,2.000025,-0.002089,0.628328,1.499519,0.006420,50.000000,2.100003,-0.000859,,,,
1670040246.140182,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.140234,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.149673,,,,,3548.964000,-0.154962,1.999973,-0.000920,0.623795,1.499618,0.006771,50.000000,2.100032,-0.003221,,,,
1670040246.149750,,,,,3548.964000,-0.154962,1.999973,-0.000920,0.623795,1.499618,0.006771,50.000000,2.100032,-0.003221,,,,
1670040246.150109,-0.053613,-0.057261,81.048415,0.000000,,,,,,,,,,,,,,
1670040246.150149,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.150162,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.150886,0.053483,-0.012038,81.058545,0.000000,,,,,,,,,,,,,,
1670040246.159399,,,,,3548.974000,0.061159,1.999936,-0.005709,-0.200628,1.499747,0.012613,50.000000,2.100002,-0.001456,,,,
1670040246.159484,,,,,3548.974000,0.061159,1.999936,-0.005709,-0.200628,1.499747,0.012613,50.000000,2.100002,-0.001456,,,,
1670040246.159812,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.159831,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.169513,,,,,3548.984000,0.029219,1.999884,0.000840,-0.217865,1.499835,0.004898,50.000000,2.100025,-0.002630,,,,
1670040246.169561,,,,,3548.984000,0.029219,1.999884,0.000840,-0.217865,1.499835,0.004898,50.000000,2.100025,-0.002630,,,,
1670040246.169719,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.169740,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.179854,,,,,3548.994000,0.175110,1.999872,-0.001713,-0.428819,1.499894,0.002711,50.000000,2.100001,-0.001908,,,,
1670040246.179907,,,,,3548.994000,0.175110,1.999872,-0.001713,-0.428819,1.499894,0.002711,50.000000,2.100001,-0.001908,,,,
1670040246.180132,0.708330,-1.148881,78.900401,0.000000,,,,,,,,,,,,,,
1670040246.180160,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.180165,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.180289,-0.024535,-0.015464,81.058710,0.000000,,,,,,,,,,,,,,
1670040246.190315,,,,,3549.004000,-0.018229,1.999866,0.004149,-0.163182,1.499889,-0.001104,50.000000,2.100020,-0.002063,,,,
1670040246.190368,,,,,3549.004000,-0.018229,1.999866,0.004149,-0.163182,1.499889,-0.001104,50.000000,2.100020,-0.002063,,,,
